author;revision;;Count of Day;Number of days;date;date;time;Count of Date;Number of Date;number_of_lines;;comment;;;;;
Thomas;r1548352;Friday;;;20/11/2015;Nov;12:35:47;;;2;1;FTRPC-381: Add Android M Support to Handset Client Copying resources from att-m branch;;;;;
Thomas;r1548350;Friday;;;20/11/2015;Nov;12:33:51;;;2;1;FTRPC-381: Add Android M Support to Handset Client Copy resources from att-m branch;;;;;
Thomas;r1548342;Friday;;;20/11/2015;Nov;12:28:01;;;2;1;FTRPC-381: Add Android M Support to Handset Client Moving ui/permission classes from at-m branch;;;;;
Thomas;r1548336;Friday;;;20/11/2015;Nov;12:26:32;;;2;1;FTRPC-381: Add Android M Support to Handset Client Moving model/permission classes from att-m branch;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1547894;Thursday;;;19/11/2015;Nov;16:41:58;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Freddie;r1547749;Thursday;;;19/11/2015;Nov;13:53:23;;;2;1;- fix a mime-type issue when uploading a file - use the latest Cloud SDK 1.0.8 branch version to fix issues with upload not resuming + send the Creation-Date attribute at DV-Attach phase (if provided);;;;;
Jimmy;r1547748;Thursday;;;19/11/2015;Nov;13:51:15;;;1;1;Enabled all modules;;;;;
Jimmy;r1547738;Thursday;;;19/11/2015;Nov;13:35:41;;;1;1;FTRPC-191 - Removed call logs and messages from home screen rendering;;;;;
Jimmy;r1547683;Thursday;;;19/11/2015;Nov;12:26:49;;;1;1;Homescreen merge from at&t branch;;;;;
Vincent;r1547493;Thursday;;;19/11/2015;Nov;06:31:05;;;4;1;FTRPC-304 : Frontier - Default Backups Settings to be ON --------------- +Instant upload for Contacts and Photos will be ON. ;;;;;
Vincent;r1546917;Wednesday;;;18/11/2015;Nov;09:06:34;;;3;1;FTRPC-336 : Frontier Android || TV beaming option does not appear inspite of cast receivers available ----------- chrome_cast_support_feature= true. enabled on Frontier.;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1546493;Tuesday;;;17/11/2015;Nov;15:38:50;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Vincent;r1546460;Tuesday;;;17/11/2015;Nov;14:56:49;;;3;1;FTRPC-416 : [FTR Android Client]Android Prod Build is pointed to API server ------------- reverted changes of Revision: 1545628;;;;;
