author;revision;;Count of Day;Number of days;date;date;time;Count of Date;Number of Date;number_of_lines;;comment;;;;;
Thomas;r1528409;Tuesday;;;06/10/2015;Oct;15:21:35;;;1;1;Merge fragment_help.xml from amx branch;;;;;
Thomas;r1528404;Tuesday;;;06/10/2015;Oct;15:18:18;;;1;1;Merge HelpFragment.java from amx branch;;;;;
Thomas;r1528397;Tuesday;;;06/10/2015;Oct;15:13:00;;;1;1;Merged from android-15.2-solutions-amx branch;;;;;
Thomas;r1527179;Friday;;;02/10/2015;Oct;16:23:05;;;2;1;Merged from android-15.2-solutions-att PHONE-1415: CLONE - [15.2][PC] Screen rotates at some pages even though auto-rotation is OFF in device.;;;;;
Thomas;r1527029;Friday;;;02/10/2015;Oct;13:24:26;;;2;1;Merged from android-15.2-solutions-att PHONE-1529: ATT Android || The file which is downloading for Available offline; if canceled not playing even with wifi [from revision 1527022];;;;
Thomas;r1526939;Friday;;;02/10/2015;Oct;10:15:40;;;2;1;Merged from android-15.2-solutions-att PHONE-1342: Phone - Rename a Photo in an Album using the Web Returns Error Getting Info on Handset [from revision 1526937];;;;;
Thomas;r1526558;Thursday;;;01/10/2015;Oct;13:25:23;;;1;1;PHONE-1377: Phone 2.0 - All files - Folder - Get info - Failure;;;;;
Jimmy;r1526549;Thursday;;;01/10/2015;Oct;13:18:27;;;1;1;Added lint suppress;;;;;
Jimmy;r1526501;Thursday;;;01/10/2015;Oct;12:29:00;;;1;1;Added handling for R2G;;;;;
Jimmy;r1525171;Tuesday;;;29/09/2015;Sept;14:08:40;;;1;1;Added handling for R2G;;;;;
Jimmy;r1525124;Tuesday;;;29/09/2015;Sept;12:49:38;;;1;1;Added settings as a main activity to launch;;;;;
Jimmy;r1525067;Tuesday;;;29/09/2015;Sept;11:55:33;;;1;1;Lint fix;;;;;
Jimmy;r1525056;Tuesday;;;29/09/2015;Sept;11:50:00;;;1;1;Added custom permission to receiver;;;;;
Jimmy;r1525043;Tuesday;;;29/09/2015;Sept;11:36:56;;;1;1;Lint fix;;;;;
Jimmy;r1525032;Tuesday;;;29/09/2015;Sept;11:31:00;;;1;1;Added r2g permission;;;;;
Jimmy;r1525020;Tuesday;;;29/09/2015;Sept;11:22:15;;;1;1;Added R2G config;;;;;
Jimmy;r1524333;Monday;;;28/09/2015;Sept;11:47:57;;;1;1;Modified broadcast receiver for R2G;;;;;
Thomas;r1523786;Friday;;;25/09/2015;Sept;14:35:53;;;1;1;PHONE-1163: Phone 2.0 - Music player in lock screen view has a cut off.;;;;;
Jimmy;r1523768;Friday;;;25/09/2015;Sept;14:15:11;;;1;1;Initial addition for R2G classes;;;;;
Jimmy;r1523643;Friday;;;25/09/2015;Sept;11:35:42;;;1;1;CR023: Phone globe for the mobile client splash screen;;;;;
Thomas;r1521833;Tuesday;;;22/09/2015;Sept;14:23:03;;;1;1;Fixed libpng warning: iCCP: Not recognizing known sRGB profile that has been edited;;;;;
Jimmy;r1520473;Friday;;;18/09/2015;Sept;14:08:32;;;1;1;Auth failure error codes;;;;;
Thomas;r1520031;Thursday;;;17/09/2015;Sept;15:02:43;;;1;1;PHONE-1388: Att Locker - AMZ Fire - Share by Me - Manage Share: Crashes Locker;;;;;
Thomas;r1519600;Wednesday;;;16/09/2015;Sept;15:05:40;;;1;1;Removed &amp;;;;;
Thomas;r1519555;Wednesday;;;16/09/2015;Sept;14:19:18;;;1;1;PHONE-1391: Phone 2.0 - unexpected notification while downloading on low battery.;;;;;
Jimmy;r1519330;Wednesday;;;16/09/2015;Sept;08:42:42;;;1;1;PHONE-1318;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1517160;Thursday;;;10/09/2015;Sept;17:34:36;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Jimmy;r1516858;Thursday;;;10/09/2015;Sept;11:03:36;;;1;1;PHONE-1318;;;;;
Jimmy;r1516801;Thursday;;;10/09/2015;Sept;09:49:48;;;1;1;Seperated strings for shares from main strings files;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1516395;Wednesday;;;09/09/2015;Sept;15:10:46;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Jimmy;r1516364;Wednesday;;;09/09/2015;Sept;14:45:52;;;1;1;Remove report abusive content;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1516286;Wednesday;;;09/09/2015;Sept;13:23:06;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Thomas;r1516221;Wednesday;;;09/09/2015;Sept;11:37:11;;;2;1;"PHONE-1227: ATT Android|| Observed ""File too large to upload"" popup while taking the picture. Added extra check if we have that size or not.";;;;;
Thomas;r1516206;Wednesday;;;09/09/2015;Sept;11:18:13;;;1;1;PHONE-1316: ATT Android || Available offline icon is hardly visible in documents screen;;;;;
Thomas;r1516182;Wednesday;;;09/09/2015;Sept;10:57:24;;;1;1;PHONE-1125: ATT Android || Available offline is displaying only when we select min 2 files. That to this feature is integrated only in docs and no where else;;;;;
Thomas;r1516140;Wednesday;;;09/09/2015;Sept;09:54:23;;;1;1;Added back empty sliding_menu_header;;;;;
Jimmy;r1516124;Wednesday;;;09/09/2015;Sept;09:35:37;;;1;1;String updates;;;;;
Jimmy;r1516078;Wednesday;;;09/09/2015;Sept;08:36:04;;;1;1;String updates;;;;;
Thomas;r1515856;Tuesday;;;08/09/2015;Sept;16:52:10;;;1;1;Update icons;;;;;
Thomas;r1515669;Tuesday;;;08/09/2015;Sept;13:00:44;;;1;1;PHONE-1259: Phone Customer Reported Issue - App Icon is square rather than rounded corners;;;;;
Thomas;r1515598;Tuesday;;;08/09/2015;Sept;11:12:36;;;1;1;Increased swipe time to 5 sec;;;;;
Thomas;r1515597;Tuesday;;;08/09/2015;Sept;11:09:10;;;1;1;PHONE-1277: Phone Locker - Header Cut Off in Android Galaxy Tablet;;;;;
Thomas;r1515550;Tuesday;;;08/09/2015;Sept;09:46:51;;;1;1;PHONE-1275: Android Galaxy Tablet - Image Carousel;;;;;
Freddie;r1515469;Monday;;;07/09/2015;Sept;18:02:26;;;2;1;PHONE-1174: Phone 2.0 - When both Upload and Download are in progress; if we cancel any one(either download or upload); both are getting cancelled. Cancel only the target operation instead of canceling all operations.;;;
Freddie;r1515192;Monday;;;07/09/2015;Sept;08:40:42;;;2;1;PHONE-1245: Phone || Files Upload is not resuming once connection is lost and regained fix the way the Cloud SDK is integrated for the upload. Reported from trunk.;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1514885;Friday;;;04/09/2015;Sept;15:28:55;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Thomas;r1514854;Friday;;;04/09/2015;Sept;14:45:09;;;1;1;Fixed lint issue;;;;;
Thomas;r1514848;Friday;;;04/09/2015;Sept;14:35:07;;;1;1;PHONE-1246: CR018 Carousel;;;;;
Thomas;r1514769;Friday;;;04/09/2015;Sept;12:36:03;;;1;1;PHONE-1116: Phone 2.0 - Push notification icon Intermittently appear - Nexus 5.;;;;;
Thomas;r1514659;Friday;;;04/09/2015;Sept;10:33:11;;;1;1;PHONE-1152: Phone 2.0 - Pop up message is displayed as creating music album when we are trying to creating photo album;;;;;
Thomas;r1514632;Friday;;;04/09/2015;Sept;09:24:09;;;1;1;PHONE-1158: ATT Android || Inconsistence of 'Remove from Playlist' from contextual menu to title;;;;;
Thomas;r1514422;Thursday;;;03/09/2015;Sept;16:43:11;;;1;1;PHONE-1109: Phone 2.0 - Empty Pop up message is displayed when we tap on continue on Download paused Roaming detected screen.;;;;;
Freddie;r1514088;Thursday;;;03/09/2015;Sept;10:11:46;;;2;1;PHONE-1018: Phone || Files download is not resuming once connection is lost and regained extends to all I/O exceptions the pause of download operations; by using the latest Cloud SDK 1.0.8.18;;;;
Freddie;r1511865;Friday;;;28/08/2015;Aug;09:28:08;;;2;1;PHONE-1018: Phone || Files download is not resuming once connection is lost and regained Finer detection of the manager to call (remote or local file manager) depending on the state of the work;;;;;
murari.krishnan;r1511531;Thursday;;;27/08/2015;Aug;15:18:55;;;1;1;fixed PHONE-1104 No-Videos message is displayed under photos tab.;;;;;
Thomas;r1511263;Thursday;;;27/08/2015;Aug;09:07:17;;;1;1;Removed unused -keepclassmembers;;;;;
Freddie;r1510630;Wednesday;;;26/08/2015;Aug;10:51:19;;;2;1;ANDINTL-3702: 15.2-PC-login pop up is displayed when device is kept idle for some time ;;;;;
Thomas;r1510560;Wednesday;;;26/08/2015;Aug;09:41:24;;;1;1;Merging 15.2 changes;;;;;
Freddie;r1510491;Wednesday;;;26/08/2015;Aug;08:12:56;;;2;1;PHONE-1018: Phone || Files downloading is not resuming once the airplane mode is turned ON and OFF ;;;;;
Nicky;r1510251;Tuesday;;;25/08/2015;Aug;17:19:59;;;5;1;PHONE-1014 Phone 2.0 - Unexpected response on the progress bar while restoring. ANDINTL-3366 15.2- Warning message is displayed when we disabled wi-fi during photo upload;upload is not resuming when wi-fi is back ;;;;
Thomas;r1510206;Tuesday;;;25/08/2015;Aug;16:28:54;;;1;1;PHONE-1039: Phone 2.0 - Push notification icon is not matching on all devices.;;;;;
Thomas;r1509790;Tuesday;;;25/08/2015;Aug;09:34:01;;;1;1;PHONE-995: ATT Android || Keypad is in visible state when we click on hamburger menu from the help screen search field;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1509257;Monday;;;24/08/2015;Aug;11:14:13;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Jimmy;r1509222;Monday;;;24/08/2015;Aug;10:37:35;;;1;1;PHONE-363;;;;;
Jimmy;r1508948;Friday;;;21/08/2015;Aug;16:50:38;;;1;1;PHONE-434;;;;;
Jimmy;r1508779;Friday;;;21/08/2015;Aug;14:07:58;;;1;1;PHONE-996;;;;;
Jimmy;r1508685;Friday;;;21/08/2015;Aug;12:12:20;;;1;1;PHONE-996;;;;;
Jimmy;r1508629;Friday;;;21/08/2015;Aug;11:16:41;;;1;1;PHONE-854 - Changed sender ID;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1508188;Thursday;;;20/08/2015;Aug;15:06:07;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Jimmy;r1508164;Thursday;;;20/08/2015;Aug;14:41:27;;;1;1;TypographyDashes fix;;;;;
Jimmy;r1508161;Thursday;;;20/08/2015;Aug;14:35:13;;;1;1;TypographyDashes fix;;;;;
Jimmy;r1508151;Thursday;;;20/08/2015;Aug;14:28:08;;;1;1;String updates;;;;;
Jimmy;r1508145;Thursday;;;20/08/2015;Aug;14:19:26;;;1;1;PHONE-908;;;;;
Thomas;r1508044;Thursday;;;20/08/2015;Aug;12:05:30;;;1;1;PHONE-812: CLONE - Phone - Handset - Phone Icon on What to Back up screen;;;;;
Thomas;r1508020;Thursday;;;20/08/2015;Aug;11:49:01;;;1;1;"PHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud""";;;;;
Thomas;r1507926;Thursday;;;20/08/2015;Aug;09:42:08;;;1;1;"PHONE-726: Phone 2.0 - Message displayed on tapping of ""Locker Backup Paused Roaming detected..."" notification is not as expected.";;;;;
Thomas;r1507915;Thursday;;;20/08/2015;Aug;09:32:45;;;1;1;"PHONE-916: Phone 2.0 - ""Get Start"" Button string is not clear - HTC desire 610.";;;;;
Thomas;r1507705;Wednesday;;;19/08/2015;Aug;16:54:40;;;1;1;PHONE-957: Phone - About Screen Copyright;;;;;
Thomas;r1507637;Wednesday;;;19/08/2015;Aug;15:30:13;;;1;1;PHONE-879: Phone 2.0 - First Time User Login Flow Every Time;;;;;
Thomas;r1507417;Wednesday;;;19/08/2015;Aug;10:47:31;;;1;1;Fixed: libpng warning: iCCP: Not recognizing known sRGB profile that has been edited;;;;;
Thomas;r1507415;Wednesday;;;19/08/2015;Aug;10:46:16;;;2;1;Merged: JIODINT-1329 --Push Not Received After and hour even though the device is registered with PHONE-854: CLONE - Push Notification are not Recieved Next Day;;;;;
Thomas;r1507409;Wednesday;;;19/08/2015;Aug;10:36:15;;;2;1;Merged: JIODINT-1329 --Push Not Received After and hour even though the device is registered with PHONE-854: CLONE - Push Notification are not Recieved Next Day;;;;;
Thomas;r1506528;Monday;;;17/08/2015;Aug;16:22:32;;;1;1;"PHONE-725: Phone 2.0 - ""Upload paused. Roaming detected."" Notification is not displayed on device notification tray when we download any content when user is in roaming data and WiFi is off.";;;;;
Thomas;r1506431;Monday;;;17/08/2015;Aug;13:36:03;;;1;1;PHONE-807: Phone 2.0 - Repeat option in the Music Player is not working as expected;;;;;
Jimmy;r1505785;Friday;;;14/08/2015;Aug;13:54:38;;;1;1;PHONE-879 - Added internal preference flag;;;;;
Jimmy;r1505761;Friday;;;14/08/2015;Aug;13:17:45;;;1;1;PHONE-591;;;;;
Jimmy;r1505731;Friday;;;14/08/2015;Aug;12:44:07;;;1;1;Modified code;;;;;
Jimmy;r1505616;Friday;;;14/08/2015;Aug;09:38:08;;;1;1;Normalising code;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1505141;Thursday;;;13/08/2015;Aug;14:59:27;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Nicky;r1505095;Thursday;;;13/08/2015;Aug;14:11:18;;;2;1;PHONE-536 App does not open for Android M - Beta;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1505036;Thursday;;;13/08/2015;Aug;13:24:34;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Jimmy;r1505021;Thursday;;;13/08/2015;Aug;12:56:59;;;1;1;String update;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1504972;Thursday;;;13/08/2015;Aug;11:45:19;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Jimmy;r1504930;Thursday;;;13/08/2015;Aug;11:11:29;;;1;1;PHONE-549;;;;;
Jimmy;r1504897;Thursday;;;13/08/2015;Aug;10:34:01;;;1;1;Removed notification icons.;;;;;
Jimmy;r1504896;Thursday;;;13/08/2015;Aug;10:33:33;;;1;1;Modified;;;;;
Jimmy;r1504892;Thursday;;;13/08/2015;Aug;10:21:05;;;1;1;String updated;;;;;
Jimmy;r1504678;Wednesday;;;12/08/2015;Aug;17:59:37;;;1;1;Removed temporary check for status;;;;;
Jimmy;r1504521;Wednesday;;;12/08/2015;Aug;15:08:00;;;1;1;PHONE-799 - Modified the layout of the button to wrap the text;;;;;
Jimmy;r1504447;Wednesday;;;12/08/2015;Aug;13:23:37;;;1;1;LINT FIX;;;;;
Jimmy;r1504404;Wednesday;;;12/08/2015;Aug;12:19:41;;;1;1;PHONE-295;;;;;
Jimmy;r1504391;Wednesday;;;12/08/2015;Aug;12:08:41;;;1;1;Added migration activity;;;;;
Jimmy;r1504316;Wednesday;;;12/08/2015;Aug;10:29:11;;;2;1;PHONE-455 - Merged from trunk Added migration status screen;;;;;
Jimmy;r1504239;Wednesday;;;12/08/2015;Aug;08:26:25;;;1;1;Added backup status;;;;;
Jimmy;r1503167;Monday;;;10/08/2015;Aug;14:30:21;;;1;1;Added strings as translated for phraseapp;;;;;
Jimmy;r1503160;Monday;;;10/08/2015;Aug;14:25:22;;;1;1;Added strings as translated for phraseapp;;;;;
Jimmy;r1503152;Monday;;;10/08/2015;Aug;14:06:28;;;1;1;Added strings as translated for phraseapp;;;;;
Jimmy;r1503149;Monday;;;10/08/2015;Aug;14:01:26;;;1;1;Added strings as translated for phraseapp;;;;;
Jimmy;r1502449;Friday;;;07/08/2015;Aug;13:55:01;;;1;1;Removed unused import;;;;;
Jimmy;r1502425;Friday;;;07/08/2015;Aug;13:29:04;;;1;1;PHONE-434 Changed Slide Menu changed to Phone Locker;;;;;
Thomas;r1502023;Thursday;;;06/08/2015;Aug;16:44:44;;;1;1;Remove sliding menu header;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1501699;Thursday;;;06/08/2015;Aug;10:00:39;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Thomas;r1501400;Wednesday;;;05/08/2015;Aug;15:58:41;;;1;1;Share optimisation; don't do thumbnails request for non media items;;;;
Thomas;r1501345;Wednesday;;;05/08/2015;Aug;14:43:58;;;1;1;PHONE-551: Phone 2.0 - Push notification is starting download of the shared file;;;;;
Jimmy;r1501337;Wednesday;;;05/08/2015;Aug;14:30:09;;;1;1;PHONE-681;;;;;
Jimmy;r1501323;Wednesday;;;05/08/2015;Aug;14:16:44;;;1;1;PHONE-549 - Suppressed view when not data is available;;;;;
Thomas;r1501134;Wednesday;;;05/08/2015;Aug;10:36:03;;;1;1;Exclude non en and ldpi resources from client-att client;;;;;
Thomas;r1500801;Tuesday;;;04/08/2015;Aug;16:34:43;;;1;1;Removed unused contacts related classes;;;;;
Thomas;r1500768;Tuesday;;;04/08/2015;Aug;16:00:51;;;1;1;Removed unused BackupNowActivity;;;;;
Thomas;r1500697;Tuesday;;;04/08/2015;Aug;14:47:30;;;1;1;PHONE-651: Phone 2.0 - Add files pop up is not displayed as expected when we try to add more files to share;;;;;
Thomas;r1500688;Tuesday;;;04/08/2015;Aug;14:31:44;;;1;1;PHONE-654: Phone 2.0 - App is crashing when we double tap on device back key when favoriting/unfavoriting content is in progress.;;;;;
Jimmy;r1500683;Tuesday;;;04/08/2015;Aug;14:27:27;;;1;1;Lint modification;;;;;
Jimmy;r1500676;Tuesday;;;04/08/2015;Aug;14:16:37;;;1;1;Lint modification;;;;;
Jimmy;r1500671;Tuesday;;;04/08/2015;Aug;14:11:09;;;1;1;Lint modification;;;;;
Thomas;r1500665;Tuesday;;;04/08/2015;Aug;14:04:57;;;1;1;PHONE-591: Phone 2.0 - 'Report Abusive Content' is available in Share tab.;;;;;
Jimmy;r1500664;Tuesday;;;04/08/2015;Aug;14:04:25;;;1;1;Lint modification;;;;;
Jimmy;r1500656;Tuesday;;;04/08/2015;Aug;13:54:05;;;1;1;PHONE-363 - Updated notification icon;;;;;
Thomas;r1500654;Tuesday;;;04/08/2015;Aug;13:49:54;;;1;1;"PHONE-552: Phone 2.0 - ""About"" not implemented in settings.";;;;;
Jimmy;r1500629;Tuesday;;;04/08/2015;Aug;13:17:59;;;1;1;Build fix;;;;;
Jimmy;r1500628;Tuesday;;;04/08/2015;Aug;13:09:04;;;1;1;PHONE-613 - Removed tile;;;;;
Thomas;r1500605;Tuesday;;;04/08/2015;Aug;12:06:10;;;1;1;"PHONE-623: Phone 2.0 - ""Remove from Playlist"" pop up is displayed when user try to remove Photo or video from an album.";;;;;
Thomas;r1500577;Tuesday;;;04/08/2015;Aug;11:38:01;;;1;1;Removed unused UserChanged;;;;;
Thomas;r1500567;Tuesday;;;04/08/2015;Aug;11:32:33;;;1;1;Removed unused ContactsActivity;;;;;
Jimmy;r1500550;Tuesday;;;04/08/2015;Aug;11:20:26;;;1;1;PHONE-547 - Added rounded buttons accross the board;;;;;
Thomas;r1500540;Tuesday;;;04/08/2015;Aug;11:11:54;;;1;1;Removed unused;;;;;
Thomas;r1500536;Tuesday;;;04/08/2015;Aug;11:04:57;;;1;1;Removed specific VZW provisioning_flow_enabled ; contacts clean up and contacts history;;;;
Thomas;r1499589;Friday;;;31/07/2015;July;14:45:12;;;1;1;Removed unused resources;;;;;
Thomas;r1499580;Friday;;;31/07/2015;July;14:38:41;;;1;1;Removed NAB QuotaManagement feature;;;;;
Thomas;r1499551;Friday;;;31/07/2015;July;14:02:01;;;1;1;"PHONE-578: ""/n"" showing up in string rather than text moving to new line";;;;;
Thomas;r1499540;Friday;;;31/07/2015;July;13:53:01;;;1;1;Removed Reliance specific login and download classes;;;;;
Thomas;r1499498;Friday;;;31/07/2015;July;13:13:05;;;1;1;Set mct.cloud.fallback to false;;;;;
Thomas;r1499392;Friday;;;31/07/2015;July;11:25:54;;;1;1;PHONE-418: Login errors need to be handled.;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1499015;Thursday;;;30/07/2015;July;15:31:45;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Thomas;r1498989;Thursday;;;30/07/2015;July;15:01:09;;;1;1;"Put translatable=""false""";;;;;
Thomas;r1498978;Thursday;;;30/07/2015;July;14:50:17;;;1;1;Updated icon.png;;;;;
Thomas;r1498977;Thursday;;;30/07/2015;July;14:49:48;;;1;1;Fixing libpng warning: iCCP: Not recognizing known sRGB profile that has been edited;;;;;
Thomas;r1498965;Thursday;;;30/07/2015;July;14:39:58;;;1;1;Added ignores UnusedResources;;;;;
Thomas;r1498952;Thursday;;;30/07/2015;July;14:33:20;;;1;1;Removed unused strings;;;;;
Thomas;r1498934;Thursday;;;30/07/2015;July;14:09:42;;;2;1;PHONE-450: Include Phone strings.xml file in final build before FAT Moved nab_account_type; dataclasses; dataclasses_extended_pcloud and dataclasses_extended_mct into configuration;;;
/OU=Domain Control Validated/CN=svn.company.net;r1498787;Thursday;;;30/07/2015;July;10:43:33;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Thomas;r1498744;Thursday;;;30/07/2015;July;09:58:03;;;1;1;Changed release email subject;;;;;
Thomas;r1498709;Thursday;;;30/07/2015;July;09:05:21;;;1;1;PHONE-423: External web addresses for auth; upgrade and logout need to be retrieved from SNC.;;;;
Thomas;r1498319;Wednesday;;;29/07/2015;July;14:46:30;;;1;1;Update prod values;;;;;
Thomas;r1498300;Wednesday;;;29/07/2015;July;14:20:59;;;1;1;Set up correct prod endpoints;;;;;
Thomas;r1498083;Wednesday;;;29/07/2015;July;10:06:55;;;1;1;PHONE-340: Phone 2.0 - PUSH Notification are not working - DEV / API;;;;;
Thomas;r1497536;Tuesday;;;28/07/2015;July;10:22:46;;;1;1;PHONE-491: Phone - Countly End Points;;;;;
Thomas;r1497472;Tuesday;;;28/07/2015;July;08:38:12;;;1;1;Set gap strategy to GAP_HANDLING_NONE;;;;;
Nicky;r1497063;Monday;;;27/07/2015;July;13:01:18;;;3;1;finalisation of ANDINT-3395;;;;;
Thomas;r1496931;Monday;;;27/07/2015;July;10:10:44;;;1;1;PHONE-471: Phone - Shadow ro right of Logo;;;;;
Thomas;r1496908;Monday;;;27/07/2015;July;09:26:01;;;1;1;PHONE-478: PHONE 2.0 - Homescreen Timeline should be bolded;;;;;
Thomas;r1496519;Friday;;;24/07/2015;July;16:13:21;;;1;1;Added QA Tested to the jira report; revert settings.gradle;;;;
Thomas;r1496513;Friday;;;24/07/2015;July;16:00:58;;;1;1;Wrong commit;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1496435;Friday;;;24/07/2015;July;14:43:57;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Thomas;r1496285;Friday;;;24/07/2015;July;11:49:13;;;1;1;Changed project jira key;;;;;
Thomas;r1496265;Friday;;;24/07/2015;July;11:27:05;;;1;1;"PHONE-397: Phone 2.0 - ""Content found"" notification does not pop up.";;;;;
Thomas;r1496231;Friday;;;24/07/2015;July;10:45:10;;;1;1;"PHONE-466: Phone 2.0 - ""MigrationInfo"" Text appears frequently went navigate to ""what to back up"".";;;;;
Thomas;r1496204;Friday;;;24/07/2015;July;09:43:16;;;1;1;"PHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud""";;;;;
Thomas;r1496201;Friday;;;24/07/2015;July;09:37:34;;;1;1;PHONE-436: Phone - Disable TV Beaming;;;;;
Thomas;r1496198;Friday;;;24/07/2015;July;09:30:51;;;2;1;PHONE-465: Phone 2.0 - App Crashes after first launch. PHONE-464: Phone 2.0 - App Crashes when you navigate to Share tab.;;;;;
Thomas;r1495947;Thursday;;;23/07/2015;July;16:09:42;;;1;1;Moved app recommendations icons into client;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1495875;Thursday;;;23/07/2015;July;15:00:50;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Thomas;r1495841;Thursday;;;23/07/2015;July;14:32:43;;;1;1;Removed UnusedResources;;;;;
Thomas;r1495830;Thursday;;;23/07/2015;July;14:21:42;;;1;1;Added lint ignore for UnusedResources;;;;;
Thomas;r1495815;Thursday;;;23/07/2015;July;14:14:21;;;1;1;Removed unused resources and enabled UnusedResources lint rule;;;;;
Dave;r1495607;Thursday;;;23/07/2015;July;09:37:01;;;1;1;merge in the latest changes from 15.2 to revision -r1495084;;;;;
Thomas;r1495598;Thursday;;;23/07/2015;July;09:24:09;;;1;1;Removed v11 drawables;;;;;
Thomas;r1495589;Thursday;;;23/07/2015;July;09:12:29;;;1;1;Revert deletion;;;;;
Thomas;r1495583;Thursday;;;23/07/2015;July;08:48:05;;;1;1;Removed unused assets;;;;;
Thomas;r1495579;Thursday;;;23/07/2015;July;08:44:05;;;1;1;Removed unused assets;;;;;
Thomas;r1495354;Wednesday;;;22/07/2015;July;16:15:58;;;1;1;Optimised assets;;;;;
Nicky;r1495232;Wednesday;;;22/07/2015;July;14:04:49;;;2;1;PHONE-401 ATTLocker 2.0 - Failed to Re-auth;;;;;
Thomas;r1494629;Tuesday;;;21/07/2015;July;14:29:13;;;1;1;Remove wizard images;;;;;
Jimmy;r1494572;Tuesday;;;21/07/2015;July;13:09:10;;;1;1;Added migration info popup;;;;;
Jimmy;r1494569;Tuesday;;;21/07/2015;July;12:57:12;;;1;1;Added migration info popup;;;;;
Jimmy;r1494523;Tuesday;;;21/07/2015;July;11:54:34;;;1;1;Added String overload;;;;;
Jimmy;r1494517;Tuesday;;;21/07/2015;July;11:45:38;;;1;1;Added migration info parsing;;;;;
Jimmy;r1494495;Tuesday;;;21/07/2015;July;11:20:23;;;1;1;Added qa config;;;;;
Jimmy;r1494003;Monday;;;20/07/2015;July;12:08:48;;;1;1;PHONE-392;;;;;
Jimmy;r1493570;Friday;;;17/07/2015;July;13:54:22;;;1;1;Modified test case;;;;;
Jimmy;r1493569;Friday;;;17/07/2015;July;13:49:52;;;1;1;Updated migration classes;;;;;
Jimmy;r1493563;Friday;;;17/07/2015;July;13:28:41;;;1;1;Added migration class and tests;;;;;
Jimmy;r1493562;Friday;;;17/07/2015;July;13:27:38;;;1;1;Added migration class and tests;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1493503;Friday;;;17/07/2015;July;11:58:34;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Jimmy;r1493417;Friday;;;17/07/2015;July;10:14:16;;;1;1;Added configuration for intro screen;;;;;
Thomas;r1493381;Friday;;;17/07/2015;July;08:39:34;;;1;1;Fixed release build.;;;;;
Nicky;r1493269;Thursday;;;16/07/2015;July;19:32:25;;;2;1;PHONE-360 Phone 2.0 - Device is not uploading or downloading.;;;;;
Thomas;r1493202;Thursday;;;16/07/2015;July;16:48:08;;;1;1;Removed translatable flag;;;;;
Jimmy;r1493081;Thursday;;;16/07/2015;July;14:47:09;;;1;1;PHONE-354;;;;;
Alan;r1493067;Thursday;;;16/07/2015;July;14:37:37;;;2;1;"PHONE-350 Phone 2.0 - ""Report Abusive Content"" is available.";;;;;
Jimmy;r1493044;Thursday;;;16/07/2015;July;14:02:49;;;1;1;PHONE-348;;;;;
Jimmy;r1493036;Thursday;;;16/07/2015;July;13:51:17;;;1;1;PHONE-348;;;;;
Jimmy;r1493028;Thursday;;;16/07/2015;July;13:41:50;;;1;1;PHONE-348;;;;;
Alan;r1492956;Thursday;;;16/07/2015;July;11:51:46;;;2;1;"PHONE-349 Phone 2.0 - ""Invitations and Referrals"" tool is available.";;;;;
Alan;r1492955;Thursday;;;16/07/2015;July;11:48:20;;;2;1;PHONE-351 Phone 2.0 - Home Screen redsign is OFF;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1492513;Wednesday;;;15/07/2015;July;15:46:38;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Alan;r1492481;Wednesday;;;15/07/2015;July;15:25:12;;;1;1;Phone Locker changes for 15.2 Branch;;;;;
Jimmy;r1492470;Wednesday;;;15/07/2015;July;15:08:50;;;1;1;Partial code cleanup;;;;;
Jimmy;r1492457;Wednesday;;;15/07/2015;July;15:02:58;;;1;1;Partial code cleanup;;;;;
